cust_id,No_of_days_frm_L_pur,total_sale,No_baskets,item_cnt,no_SKUs,no_Categories,avg_no_prds_w_ret,Flag_Multi_cat_p2
1873212,140,967.22,6,73,54,20,12.16666667,0
1875143,159,403.92,3,35,20,6,11.66666667,1
1876575,4,3226.57,29,293,199,97,10.10344828,1
1878297,5,188.6,1,47,17,2,47,1
1878571,35,3052.27,16,232,152,46,14.5,1
1883439,76,858.7,4,55,44,9,13.75,1
1884738,74,2948.04,10,119,86,27,11.9,1
1886161,72,418.29,3,64,26,7,21.33333333,1
1887109,4,2422.32,16,289,262,37,18.0625,0
1887378,117,133,1,7,6,2,7,1
1887513,82,1084.07,8,141,26,15,17.625,1
1887793,96,9250.8,10,205,44,22,20.5,1
1891270,10,633.37,5,55,40,16,11,1
1904005,26,965.56,8,102,65,27,12.75,1
1904278,6,8673.66,47,898,400,146,19.10638298,1
1907465,43,100.25,1,26,6,2,26,1
1907550,61,4633.41,14,90,55,31,6.428571429,1
1909151,203,5285.59,6,217,75,19,36.16666667,0
1912890,29,1320.66,6,85,36,19,14.16666667,1
1913463,14,203.4,2,32,22,5,16,1
1914671,32,3356.43,16,250,189,59,15.625,1
1915270,83,10753.48,7,1363,38,16,194.7142857,1
1917409,42,604.3,5,34,32,12,6.8,1
1921022,43,2834.99,12,202,151,26,16.83333333,1
1923008,305,1285.03,4,80,15,7,20,0
1923026,7,1063.49,8,67,19,16,8.375,1
1923488,371,174.5,1,10,9,3,10,0
1923571,426,107.5,1,6,6,3,6,0
1925859,235,101,1,14,5,3,14,0
1927311,118,399.52,1,17,16,5,17,1
1928152,9,317.76,2,58,4,3,29,1
1928337,19,1221.18,9,139,73,23,15.44444444,1
1928488,334,445.35,1,6,4,3,6,0
1931354,22,1676.04,9,198,112,25,22,1
1932579,38,128.5,1,3,3,1,3,0
1936638,293,210.4,2,21,12,6,10.5,0
1936963,242,111.06,1,14,4,3,14,0
1937613,89,1216.74,7,40,33,14,5.714285714,1
1937884,14,460.04,3,52,34,9,17.33333333,1
1938463,3,4273.22,25,548,162,66,21.92,1
1940917,214,100.05,1,8,8,3,8,0
1941155,16,2290.18,10,348,98,27,34.8,1
1942311,65,515.64,4,98,19,7,24.5,1
1944189,145,7212,12,2007,84,36,167.25,1
1944446,304,163.2,2,7,6,5,3.5,0
1948693,27,210,1,36,3,2,36,1
1949671,1,3407.78,33,449,300,130,13.60606061,1
1955128,78,1371.33,4,72,20,10,18,1
1959776,4,4994.04,3,11,7,6,3.666666667,0
1960286,109,468.98,2,8,6,3,4,0
1960492,361,578.6,2,55,17,7,27.5,0
1960624,69,656,6,12,9,7,2,1
1962312,157,579.74,2,41,17,5,20.5,1
1962772,133,122.9,1,2,2,2,2,1
1962946,0,1280.83,9,85,64,27,9.444444444,1
1963449,188,101.3,1,9,8,3,9,0
1964452,76,835.62,4,143,45,15,35.75,1
1964728,125,106,1,6,2,1,6,0
1964731,24,1724.59,6,131,79,24,21.83333333,1
1965357,393,187.2,1,12,1,1,12,0
1965850,76,451.9,4,21,14,8,5.25,1
1966431,94,2520.28,8,23,10,10,2.875,1
1966755,140,1201.41,4,60,20,10,15,1
1968740,3,502.86,3,27,25,7,9,1
1969122,66,3827.26,15,210,113,33,14,1
1970347,77,2216.27,13,123,67,27,9.461538462,1
1970529,20,4713.88,19,320,131,48,16.84210526,1
1971068,100,1247.82,8,144,43,22,18,1
1972276,292,521.6,2,45,32,9,22.5,0
1972447,11,8720.21,26,620,280,92,23.84615385,1
1981413,16,1289.42,3,22,17,10,7.333333333,1
1994904,23,320.9,3,27,21,6,9,1
1995483,119,846.5,7,75,45,22,10.71428571,1
1995559,170,264.78,2,10,7,5,5,1
1999089,94,275.3,4,18,11,5,4.5,1
1999451,42,375.69,3,32,16,8,10.66666667,1
2002169,205,5161.05,10,291,27,18,29.1,0
2002556,2,4983.63,13,297,132,34,22.84615385,1
2005076,59,1882.84,12,173,79,33,14.41666667,1
2006594,90,3574.3,5,50,22,10,10,1
2011901,26,1336.86,1,18,9,5,18,1
2015056,14,4294.92,28,549,387,102,19.60714286,1
2017655,26,667.5,6,60,49,14,10,1
2019510,23,3957.43,18,349,247,71,19.38888889,1
2020756,25,12570.54,18,151,118,44,8.388888889,1
2024406,101,471,3,19,8,5,6.333333333,0
2032881,130,583.01,4,46,39,12,11.5,1
2032975,1,2610.08,19,235,159,68,12.36842105,1
2038411,3,17300.32,58,1298,446,177,22.37931035,1
2052497,32,1170.95,5,105,55,19,21,1
2057417,278,108,1,6,1,1,6,0
2062839,88,725.31,3,80,17,5,26.66666667,0
2063558,386,355.16,3,41,34,12,13.66666667,0
2070204,83,181.3,1,19,18,4,19,1
2072198,190,964.78,6,44,29,18,7.333333333,0
2072490,137,613.75,5,54,32,14,10.8,0
2074192,36,1442.5,14,87,60,32,6.214285714,1
2074259,11,334.29,2,44,31,8,22,1
2079464,60,2179.71,7,62,37,13,8.857142857,1
2080295,70,563.9,5,37,34,11,7.4,1
2082104,327,500.8,2,23,19,8,11.5,0
2084208,10,727.08,3,41,30,10,13.66666667,1
2085045,68,103.02,1,21,12,3,21,1
2085086,10,1739.26,12,101,69,29,8.416666667,1
2085315,6,3367.6,5,60,28,13,12,1
2085473,12,2899.42,16,268,166,37,16.75,1
